,sb,se,streamID,f0,f1,f2,f3,f4,f5,f6,f7,class
46,sb1,se2,46,0.702595080739183,15.685143151683809,7.045837665859151,2.904468637105961,-0.7222357851194553,1.3807441973790155,0.11472051483035023,0.5776373133703837,0
47,sb1,se2,47,0.7209359406641983,21.135941937943223,12.27327422662729,5.361510070585411,-0.755232506633404,1.4656358507703346,-0.06413390802451409,0.6658474591658028,0
48,sb1,se2,48,-3.159193568610468,29.881057439320504,10.015022953568396,4.262581899629938,-0.717645154214833,1.5428754724539884,-0.05640752562566375,0.45416806146945626,0
49,sb1,se2,49,-5.6960475497620715,26.95825784473992,9.295670526533238,3.873180086391779,-0.2929120610224496,0.8159340627625544,0.17975807657006695,0.728966124737067,0
50,sb1,se2,50,-9.172670977593448,17.847211805244452,13.591429129629814,2.549457666532919,3.8433748435102673,5.876689341396473,1.4303050213808692,1.514949277093398,0
51,sb1,se2,51,6.702682506143495,39.45162173191756,10.274622512543777,5.174524450955799,-0.37806903292023125,1.2951324539160884,0.029155562855560452,0.7836610882444144,0
52,sb1,se2,52,10.501945717023839,47.210418688028234,10.959297625766132,5.410877658761579,-0.27663674817172695,1.2889916109428103,-0.17340174624893523,0.5544611065491714,0
53,sb1,se2,53,-5.1584062459185835,13.325263584641753,10.142529164677775,1.714070499299903,-0.3210194998710565,0.9637386980736671,0.6081584683226912,0.6003896761620295,0
54,sb1,se2,54,0.253342383679082,31.449717891802365,11.414155952645206,3.2370955516541082,-0.92614451604957,0.880778157418447,-0.1401304024918763,0.4255229937420828,0
55,sb1,se2,55,4.184086878205487,40.38382569621271,11.73538022381121,4.942867822545547,-0.6238180875913054,0.9456864982465338,-0.05962321797784239,0.6632516383996787,0
56,sb1,se2,56,3.710539697835212,10.707031850026015,8.447135190664936,4.0890736743614085,-0.8706558852101508,0.4593765118463956,0.16092573904408436,0.47513225931110287,0
57,sb1,se2,57,-17.017750336382104,36.35635252597647,18.504436915465835,7.170427082566776,-0.2946610529114045,0.586135158732255,0.41882128077281383,0.6246108884477788,0
58,sb1,se2,58,-5.082713694974451,33.809329787952,13.650459922872313,6.405697761872686,-0.6806136412322183,1.0026968377889547,-0.05123419337328359,0.6770572722683041,0
59,sb1,se2,59,14.434358567076801,69.94967870348076,15.024250302728655,6.570174103713813,0.3005309739829615,2.719105157819619,0.023589409671583055,0.9042318547556797,0
60,sb1,se2,60,12.913312058159496,26.368923569562256,15.953648843758325,5.912745229097063,-0.4430459374466622,0.9085078289081056,-0.7191788552546464,0.4162900843153651,0
61,sb1,se2,61,7.894312627084406,33.85529335451662,14.675343188246432,5.898461214652894,-0.6933687881394335,1.2515235439523105,-0.26847738105579033,0.47704215270925243,0
62,sb1,se2,62,6.192592304531465,15.188887237289563,10.752648491696634,4.8546221105486405,1.6337770460260632,1.1916595578329183,-1.1161361941083716,0.7778709364275158,0
63,sb1,se2,63,-5.298154849736745,26.804995344562503,10.973757216319385,6.434686744521528,-0.5908286161609008,1.7541363503159175,-0.18978922451986133,0.6895125762556624,0
64,sb1,se2,64,-14.0651911512326,64.10535238266652,14.618297417190517,5.151515543310621,-0.334122587328669,1.2830952648444645,-0.0990094719617914,0.7802842731923683,0
65,sb1,se2,65,-12.623497141000293,30.451696770543553,17.469881637454723,8.163179990547093,-0.304594861613422,0.6020715368300731,0.705854317723063,0.48881243954085535,0
66,sb1,se2,66,-7.205275923923878,11.825898737423152,13.598184365327372,1.3354624313096723,2.7067013247218026,3.93564738335909,1.0746069875777613,1.4791465252407372,0
67,sb1,se2,67,5.038351954741927,36.06712828469426,13.177240399867063,5.2757936212991146,-0.8178270635866847,1.3203632521101856,-0.1763157202360848,0.6515859979787646,0
68,sb1,se2,68,9.461374662342527,42.60725202836671,14.40967072737062,5.459606884642746,-0.7869829203753779,0.7449562758422518,-0.39910485263248724,0.5852202317883872,0
69,sb1,se2,69,6.00201525520857,37.254919038144926,8.632519547469782,5.065350747960208,-0.469571669718909,1.3168432707747417,0.02348400179252863,0.6550853724267757,0
70,sb1,se2,70,9.040774149183067,35.67363762348386,14.753090718268108,5.792095558109794,0.19753932649575182,2.9681594570449263,-0.3054562351799239,0.9479203986409915,0
71,sb1,se2,71,-12.558491577950953,28.228245666508084,13.731343277680457,5.267336385726285,0.15623711112049396,0.5923256482393199,0.28555918048942047,1.017146091835224,0
72,sb1,se2,72,-5.0685315146196785,30.84072856749026,11.829503055881384,4.419560170144139,-0.7229999717153739,1.1455835082840407,-0.08588916250212018,0.5849133436833283,0
73,sb1,se2,73,6.837733548704508,31.035451119733352,11.561228625771212,3.2624271694809,-0.3259309740942105,1.1093675539361731,-0.23077029406214875,0.8458019559057202,0
74,sb1,se2,74,8.957210159255846,17.793789858545384,12.844591065323849,2.8938563028788464,3.1540360122890694,4.898542342384211,-1.1290773226676578,1.2647459829086967,0
75,sb1,se2,75,-4.308385003783822,31.780286527091956,10.846407238375223,6.044658570300505,-0.013534288645199566,2.510163939086198,-0.21897230163032183,0.8715413741395305,0
76,sb1,se2,76,-12.978025965026129,55.83099463679732,11.96750213215331,5.308699208647667,0.026585588163203746,1.6609325792108711,-0.21193652094289622,0.7879313441414638,0
77,sb1,se2,77,6.26033383940698,13.589018437294197,14.4724901747104,2.1307019164619065,-0.09489486680620463,1.1068722293615452,-0.6533475327281227,0.5735309926555379,0
78,sb1,se2,78,-0.5237978883273501,12.998666675584017,6.534705420398695,3.3296545499566688,-0.5758929306738175,0.8000743012983705,-0.08819501262652184,0.6484320253710609,0
79,sb1,se2,79,-0.5756076845375996,15.66769787707813,9.977456651207937,4.130908861023872,-0.9075650033662617,0.4719420611374361,-0.04350384294730381,0.5436208217676893,0
80,sb1,se2,80,-0.5754169389764591,12.622205488177912,7.191827769845461,2.8508371461224624,-0.8208430392093328,0.606111700388374,-0.0014540198343595458,0.5242994323232661,0
81,sb1,se2,81,-0.5409227412745625,19.919097313671944,10.37864278511489,5.328905804699573,-0.9831031300282693,0.4198873544146906,0.03338341120267276,0.43107835788323295,0
82,sb1,se2,82,-0.24522818583319594,16.672720674948554,10.714932378119181,5.097388088892143,-0.8922018829386287,0.749312261626492,0.060037422585415244,0.5020763960723552,0
83,sb1,se2,83,-0.7918993270637366,24.314692884059237,10.831066176335353,4.985229994593921,-0.8558241172414751,0.49987175595707073,-0.003453547900807852,0.44981106890035466,0
84,sb1,se2,84,0.8787685844666061,19.94219435004061,12.116056042197442,5.270750142698993,-0.9090871999904054,0.7742840183226736,0.1128108615835881,0.513183874487784,0
85,sb1,se2,85,-0.6164096675378359,19.190178026066537,12.913180641295451,4.9233268070837415,-0.8523342929117954,0.8116675488121508,0.1226437541727559,0.5862951287931444,0
86,sb1,se2,86,-0.5521322011495631,20.770399543714337,9.261272530153718,3.4763000832786624,-0.7541734828255875,1.1540816595298555,0.004875661033854848,0.6171115358629589,0
87,sb1,se2,87,0.6828790449091585,18.10820676852123,9.93568713470373,4.390698022484225,-0.5610936362381072,1.7112879686058482,0.1814630946909757,0.7416382975244034,0
88,sb1,se2,88,-0.3440979152706539,18.673289724454293,13.133142025485132,4.740387755748922,-0.9346234916989353,0.7978711463387915,-0.05777717298083636,0.5577121301506859,0
89,sb1,se2,89,0.5637511418202857,28.605422117208526,9.268894217708283,4.438253329937812,-0.8823233417527166,0.6559936999317333,-0.014754687079582312,0.5261786268982175,0
90,sb1,se2,90,-0.954872439577532,21.924037309740868,11.213311177077648,5.251099069268313,-0.45484491150419554,1.3816447357813402,0.11156588189248713,0.7713927511987069,0
91,sb1,se2,91,1.0011191127894397,23.927290757288354,9.967269700358344,4.075338712445611,-0.856074473261111,0.5130608221790354,0.16805789628208084,0.49834306875753187,0
138,sb2,se2,138,0.4847433358226952,11.407202854853823,4.1666566100609215,1.9082391139594406,-0.9080028793934831,0.7000090904409171,-0.11462417549487577,0.4913177378606245,1
139,sb2,se2,139,-0.3042357505856363,7.962179395694416,15.971552070203524,4.693892946019108,-1.2232446057581718,0.680072575622717,-0.048412100255247476,0.35800997636039356,1
140,sb2,se2,140,-2.135307741344992,29.289988577374952,12.81357762834727,4.948147342650638,-1.07849548457155,0.48374585441749474,-0.13031231976499455,0.4072460754859479,1
141,sb2,se2,141,2.5786247114762895,17.892369835245898,14.714978395089327,5.333081274339689,-0.5943695906121407,1.2715011670896936,-0.38165180862209425,0.683017590044275,1
142,sb2,se2,142,-2.3882365165629644,11.837642324384484,8.758816894659343,4.249113362430888,-1.1773286550655426,0.3136711748922679,-0.01660158234492304,0.3108444293011484,1
143,sb2,se2,143,2.0454535565642256,2.0672958677256843,6.370094791694547,1.310314989088216,-0.6270867272626237,0.7331563496469886,-0.41856014461125346,0.4275081470728012,1
144,sb2,se2,144,-0.5750155748665344,0.6287102086498533,4.641956769980531,1.0396090350296703,5.414399977083497,4.002392405994273,2.046355636554162,0.7774722475092933,1
