sb,se,streamID,f0,f1,f2,f3,f4,f5,f6,f7,class
sb1,se2,46,0.7818831210487186,15.457690009219558,6.0572117958665945,2.950753503412557,-0.7233134300255483,1.1988758322244344,-0.0026004949749008056,0.5755782773964471,0
sb1,se2,47,0.7649319116427352,24.066024665908877,14.579385809254017,5.70826843894854,-0.8791991364826098,1.1278860060275269,-0.13717498598467573,0.6182484599558387,0
sb1,se2,48,-1.819179142274675,18.441924852790088,10.353958349227112,4.520541647202823,-0.6258682651872426,1.017658369866043,-0.07096286237259024,0.6646153923843372,0
sb1,se2,49,-5.317218106044172,28.615251954186284,11.077666880755887,5.368703763068241,-0.2480241339061618,0.6084103740182139,0.32037944774925103,0.6970083379165415,0
sb1,se2,50,-11.955606351186661,24.15361130168283,14.395322878253678,4.764908233737213,2.097652167337323,3.6121828680289094,1.0430536825694514,0.9627561406752325,0
sb1,se2,51,3.592149902153939,24.551256882511087,7.966680894258709,4.478955004932665,-0.4192154306677242,0.8302977162337646,-0.15560765777843014,0.5564627354014121,0
sb1,se2,52,12.95270621594804,52.5402926983416,12.167985084094514,6.647168349713604,-0.2620221753304491,1.0291368299152845,-0.1652745202043497,0.7767845241479489,0
sb1,se2,53,-1.0653843822847804,5.541121067156545,8.023454686233721,3.928771107142542,-0.12012371689285321,1.1955131418675233,0.4259273203820286,0.9461930313102737,0
sb1,se2,54,0.16255202279266603,17.722912742785795,9.990884561148606,4.688923310331631,-0.8503595954839896,0.9723539706852685,0.02087640311729701,0.5772856981229567,0
sb1,se2,55,2.9827990828535005,27.616905098066642,8.806444040673112,3.563627521138123,-0.32013263778958,1.102293551164934,-0.07042742330940453,0.9026784064707056,0
sb1,se2,56,6.577636326788605,20.6372052919984,9.475405833603109,5.348803293665543,-1.0243899259864193,0.4118982325843836,0.05383842475580498,0.4602228545630848,0
sb1,se2,57,-11.37154908651842,26.831293672487128,13.201406609251693,6.840600077520502,-0.2489838770248268,0.3256272007311817,0.4112979778739499,0.609339073084415,0
sb1,se2,58,-5.556326627728296,33.967464179303505,12.517432946148192,5.606284152854359,-0.5539068230888236,1.1513492213837972,-0.18536588915446922,0.6961506643048583,0
sb1,se2,59,11.305612423749135,50.744378289349065,14.730070820492003,2.8881089440068717,-0.9170833043028154,0.5171969353679372,0.002721886226028552,0.5208786924118571,0
sb1,se2,60,10.291092371285957,20.692906500147718,13.909377468396235,4.915494028557297,-0.2455848913615112,0.9298983970750009,-0.6615543696292233,0.49427522959452275,0
sb1,se2,61,6.753671720238951,27.97446303622902,17.28092164180792,6.972417344234886,-1.1202305140697633,0.3510860062391021,-0.12609160903704583,0.3158316162889996,0
sb1,se2,62,7.941531815637411,16.913115954572685,12.220329929220506,6.896601168620089,0.9263730600677907,1.3016115871678595,-0.9975374375407311,0.6472889965608406,0
sb1,se2,63,-3.0216306404858133,15.660985694727218,9.928870708485551,5.22617158025454,-0.6062457397599497,1.8350615766515235,0.06947350221319815,0.6595602151020411,0
sb1,se2,64,-14.05549354547735,60.41358041721651,14.39687719794217,4.380741811411359,-0.5707693755877343,0.7517437506744068,-0.08524720092294001,0.6566776499669319,0
sb1,se2,65,-10.787395031190757,28.01576041309011,16.35432240207325,5.138853579044226,0.05989984345952474,0.6758678368340522,0.6286486886067015,0.7718658785101872,0
sb1,se2,66,-6.320855637029987,11.45787597380421,15.810798476157295,2.226130621727896,3.11079196875385,4.534021790746724,1.4861398571211744,1.2845954278795573,0
sb1,se2,67,5.906995493837742,41.46537429941971,15.812182924857646,5.985768451761549,-0.840910563950121,0.8531964956014926,-0.03463506062840693,0.6050676457640147,0
sb1,se2,68,15.325620667261825,62.86503100931794,17.85752865861436,10.116280110188253,-0.6539721807133159,0.8567512285251686,-0.3438026331806886,0.7349361963112475,0
